id,session,sid,context,state,answer,stateC,answerC,appxC,Precision,Accuracy,Info lack,Misinfo,Safe,H needs,Context,S ease,H ease,Habit,Sound,Other,motive
1093,1,93,neighbor,at 8:28,8:28,2,2,0,,,,,,,,,,,,0,"Because that was the time on the clock, and I answered honestly"
1094,1,94,neighbor,at 8:26,8:26,4,4,0,,,,,,,,,,x,,,Because that's what I answer when it comes to the hour
1095,1,95,neighbor,8:26-8:34,about 8:30,8,10,about,x,,,,,,x,,,x,,,"Because it is the most natural way of responding, with an appropriate amount of precision given the situation"
1096,1,96,police,at 8:30,half past 8,0,0,0,,,,,,,,,,x,,,It seemed the most natural and effective way to communicate
1097,1,97,police,at 8:32,just after 8:30,2,10,just before/after,,,x,,,,,,,,,,"As I unlikely would have remembered the exact time, more a rough estimate."
1098,1,98,police,at 8:26,eight twenty six,4,4,0,,x,,,,,,,,x,,,"that's how I would have said the time, plus it seemed appropriate to be accurate to the minute"
1099,1,99,police,8:26-8:34,between 8:26 and 8:34am,8,8,0,,,,,,,,,,,,0,"Because, that's how I remembered it from looking at my watch."
1100,1,100,neighbor,at 8:30,8.30,0,0,0,,,,,,,,,,,,0,because that was the time
1101,1,101,neighbor,at 8:28,08:28,2,2,0,,,,,,,,,,,,0,I answered that way because it  shows the accident happened in the morning
1103,1,103,neighbor,8:26-8:34,8:30,8,0,0,,,,,,,,,,,,0,8:30 was the average between the two points of time I knew when it could have happened.
1104,1,104,police,at 8:30,8:30,0,0,0,,,,,,,,,,,,0,Because I knew when it happened
1107,1,107,police,8:26-8:34,8:26-8:34 AM,8,8,0,x,,x,,,x,x,,,,,,Because that was the period in which the accident occurred. The policeman wants all info so better to give the range rather that pretend you know the exact minute when you don't. 
1110,1,110,neighbor,at 8:34,8:34,4,4,0,,,,,,,,,,,,0,I answered it that way because the clock read 8:34.
1111,1,111,neighbor,8:26-8:34,08:30,8,0,0,x,,,,,x,x,,,,,,I rounded time to the nearest 30 mins. People don't usually require the exact time when discussing.
1112,1,112,police,at 8:30,about half past eight in the morning ,0,10,about,,,,,,,,,,x,,,because it felt natural  to give an estimate as an answer
1113,1,113,police,at 8:32,8:32,2,2,0,,x,,,,x,x,,,x,,,That is the time that was on the clock when I looked at it.  It felt natural to answer that way and I felt was the most accurate time for what the police were looking for.
1114,1,114,police,at 8:34,8:35,4,5,0,x,x,x,,,x,,,,,,,"8:34 would have been very specific, and I would be unlikely to trust my memory confidently enough to say 8:34 down to the minute. I believe 8:35 is close enough to provide the needed information. "
1117,1,117,neighbor,at 8:32,8.30,2,0,0,x,,,,,,x,,,x,,,"8.32 is too precise for a chat with a friend.  If the police were asking I would have answered 8.32, however, when talking in normal every day English it would be more usual to say '8.30' or 'half-eight'"
1118,1,118,neighbor,at 8:34,just after half 8,4,10,just before/after,x,,x,,,x,x,,,,,,"The situation that was described suggested it was an informal chat about the accident, so exact timings were unnecessary. I also felt that by later in the day I would be unlikely to remember the exact time."
1119,1,119,neighbor,8:26-8:34,8:26 to 8:36 this morning,8,8,0,, ,,,,,,,,,,0,"I misread the clock (i.e. 8:36 rather than 8:34). I answered as honestly as I could, even though I wasn't given the option to use ""between"""
1120,1,120,police,at 8:30,08:30,0,0,0,,,,,,,,,,,,0,I had read the scenario and no reason not to answer honestly.
1121,1,121,police,at 8:32,8.32,2,2,0,x,x,,,,,x,,,,,,I wanted to be as specific as possible. I would usually in a regular situation say 8.30 but felt that due to the serious nature the most accurate time would be better.
1122,1,122,police,at 8:34,8.34 this morning,4,4,0,,,,,,,,,x,x,,,"Because it is still the same day and the police police would also know that/what day it is (so you would not usually feel the need say the full date/it feels a bit redundant). Saying 'this morning', is less formal than '8.34am on [date]' but it just feels more natural to say and is still easily understandable."
